raceId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1,Sunny with temperatures reaching up to 27 °C (81 °F)[2],1,0,0,0,0
2,"Dry start, with heavy rain and thunderstorm/monsoon later",0,0,1,1,0
3,Rain,0,0,0,1,0
4,Sunny,1,0,0,0,0
5,"Warm, Sunny",1,0,0,0,0
6,Sunny,1,0,0,0,0
7,Sunny,1,0,0,0,0
8,"Dry, overcast",0,0,0,0,1
9,Sunny and overcast,1,0,0,0,1
10,Sunny25 °C (77 °F)[3],0,0,0,0,0
11,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1],1,0,1,0,0
12,Clear but Mild,1,0,0,0,0
13,Mainly sunny,1,0,0,0,0
14,Hot and Dry,1,0,1,0,0
15,"Sunny, Dry",0,0,1,0,0
16,Partially cloudy and dry,0,0,1,0,1
17,Dry,0,0,1,0,0
18,"Clear, dry, air temperature of 39 °C (102 °F).",0,0,0,0,0
19,"Sunny, partly cloudy",0,0,0,0,1
20,Dry,0,0,1,0,0
21,Sunny,1,0,0,0,0
22,Sunny with temperatures reaching up to 17 °C (63 °F)[3],1,0,0,0,0
23,"Wet, drying later.",0,0,0,0,0
24,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1],1,0,0,0,0
25,Dry at first; light rain in the final stages,0,0,1,1,0
26,"Rain, later drying",0,0,0,0,0
27,"Cloudy, later sunny[1]",0,0,0,0,0
28,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)",0,0,0,0,0
29,Sunny,1,0,0,0,0
30,"Cloudy, rain in last 3 laps",0,0,0,1,0
31,"Heavy rain, dry towards the end",0,0,1,0,0
32,"Dry, Air Temp: 28 °C (82 °F), Wind Speed: 2.2 metres per second (7.2 ft/s), Humidity: 79%",0,0,0,0,0
33,Cloudy with temperatures reaching up to 17 °C (63 °F)[4],0,0,0,0,1
34,Dry,0,0,1,0,0
35,"Rain at beginning and end, otherwise drying",0,0,0,1,0
36,Clear with temperatures reaching up to 21 °C (70 °F)[1],1,0,0,0,0
37,Sunny[1],0,0,0,0,0
38,"Sunny, dry, windy",0,0,0,0,0
39,Sunny and warm,1,0,0,0,0
40,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",0,0,0,0,0
41,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],1,0,0,0,0
42,Warm (33C/91F) and clear,1,0,0,0,0
